iter	Passed	Remaining
403	34472	50855
404	34554	50765
405	34627	50662
406	34718	50585
407	34811	50510
408	34885	50408
409	34949	50293
410	35031	50202
411	35114	50114
412	35202	50034
413	35281	49939
414	35349	49829
415	35430	49738
416	35512	49648
417	35602	49570
418	35677	49471
419	35756	49378
420	35840	49291
421	35911	49187
422	35989	49092
423	36072	49004
424	36166	48931
425	36244	48836
426	36322	48741
427	36396	48642
428	36485	48562
429	36567	48473
430	36663	48402
431	36728	48291
432	36820	48215
433	36890	48110
434	36974	48024
435	37051	47928
436	37131	47837
437	37228	47768
438	37307	47675
439	37397	47597
440	37470	47496
441	37548	47402
442	37624	47306
443	37694	47202
444	37768	47104
445	37867	47036
446	37953	46953
447	38032	46861
448	38120	46780
449	38197	46686
450	38280	46598
451	38343	46487
452	38420	46392
453	38502	46304
454	38575	46205
455	38640	46098
456	38710	45994
457	38794	45909
458	38890	45838
459	38981	45760
460	39055	45663
461	39128	45565
462	39213	45480
463	39297	45395
464	39367	45293
465	39448	45204
466	39517	45101
467	39599	45014
468	39682	44928
469	39782	44860
470	39861	44769
471	39934	44672
472	40011	44579
473	40084	44481
474	40164	44392
475	40240	44298
476	40312	44200
477	40391	44109
478	40474	44022
479	40561	43941
480	40648	43859
481	40731	43773
482	40813	43686
483	40897	43600
484	40983	43518
485	41069	43435
486	41153	43350
487	41262	43291
488	41359	43220
489	41440	43132
490	41518	43040
491	41609	42963
492	41687	42871
493	41767	42781
494	41840	42685
495	41955	42632
496	42099	42607
497	42187	42526
498	42268	42438
499	42361	42361
500	42435	42266
501	42516	42177
502	42617	42109
503	42709	42032
504	42785	41938
505	42872	41855
506	42947	41761
507	43042	41686
508	43136	41610
509	43213	41519
510	43292	41428
511	43377	41344
512	43460	41258
513	43547	41175
514	43630	41089
515	43729	41017
516	43823	40941
517	43909	40857
518	43988	40767
519	44081	40690
520	44181	40619
521	44261	40530
522	44360	40458
523	44443	40372
524	44530	40289
525	44618	40207
526	44714	40133
527	44804	40052
528	44911	39987
529	44995	39901
530	45072	39809
531	45168	39734
532	45268	39662
533	45342	39568
534	45439	39494
535	45545	39427
536	45628	39340
537	45708	39251
538	45789	39162
539	45862	39068
540	45971	39003
541	46050	38913
542	46140	38833
543	46232	38753
544	46324	38674
545	46407	38588
546	46478	38491
547	46570	38412
548	46650	38323
549	46724	38228
550	46818	38151
551	46897	38061
552	46986	37979
553	47083	37904
554	47169	37820
555	47250	37732
556	47335	37647
557	47445	37582
558	47518	37487
559	47612	37410
560	47700	37326
561	47773	37232
562	47865	37153
563	47949	37067
564	48026	36976
565	48109	36889
566	48182	36795
567	48270	36712
568	48343	36618
569	48437	36540
570	48528	36460
571	48607	36370
572	48681	36277
573	48755	36184
574	48842	36100
575	48907	36001
576	48981	35908
577	49067	35824
578	49142	35732
579	49228	35648
580	49298	35552
581	49376	35463
582	49454	35373
583	49530	35281
584	49614	35196
585	49689	35104
586	49774	35020
587	49857	34934
588	49936	34845
589	50014	34756
590	50106	34676
591	50187	34588
592	50269	34501
593	50343	34409
594	50425	34323
595	50552	34266
596	50649	34190
597	50742	34111
598	50823	34024
599	50890	33926
600	50975	33842
601	51058	33755
602	51151	33676
603	51236	33592
604	51322	33507
605	51398	33417
606	51473	33326
607	51556	33240
608	51634	33151
609	51725	33070
610	51805	32982
611	51883	32893
612	51964	32806
613	52044	32718
614	52116	32625
615	52206	32544
616	52336	32487
617	52415	32399
618	52503	32316
619	52592	32233
620	52671	32145
621	52749	32056
622	52835	31972
623	52901	31876
624	52980	31788
625	53072	31708
626	53158	31623
627	53242	31538
628	53315	31446
629	53386	31353
630	53473	31270
631	53541	31175
632	53621	31088
633	53704	31003
634	53776	30910
635	53859	30825
636	53932	30733
637	54019	30650
638	54092	30559
639	54170	30470
640	54247	30382
641	54325	30293
642	54422	30216
643	54518	30137
644	54588	30045
645	54663	29954
646	54754	29873
647	54845	29792
648	54921	29703
649	55001	29616
650	55112	29545
651	55192	29458
652	55270	29370
653	55365	29291
654	55437	29199
655	55536	29122
656	55626	29040
657	55701	28951
658	55788	28868
659	55879	28786
660	55959	28699
661	56043	28614
662	56119	28525
663	56194	28435
664	56272	28347
665	56349	28259
666	56434	28175
667	56511	28086
668	56587	27997
669	56669	27911
670	56752	27826
671	56834	27740
672	56920	27656
673	57006	27573
674	57079	27482
675	57164	27398
676	57253	27315
677	57339	27232
678	57423	27147
679	57500	27059
680	57584	26974
681	57686	26897
682	57766	26811
683	57852	26727
684	57939	26643
685	58014	26554
686	58103	26472
687	58202	26394
688	58298	26314
689	58378	26228
690	58461	26142
691	58550	26059
692	58656	25984
693	58738	25898
694	58821	25813
695	58922	25736
696	59010	25653
697	59101	25571
698	59181	25484
699	59256	25395
700	59351	25315
701	59429	25227
702	59497	25136
703	59581	25051
704	59689	24976
705	59777	24893
706	59876	24814
707	59957	24728
708	60042	24643
709	60121	24556
710	60226	24480
711	60364	24416
712	60444	24330
713	60534	24247
714	60619	24162
715	60692	24073
716	60792	23994
717	60876	23909
718	60952	23821
719	61061	23746
720	61144	23660
721	61215	23570
722	61299	23485
723	61380	23399
724	61472	23317
725	61557	23232
726	61655	23152
727	61752	23072
728	61847	22991
729	61943	22910
730	62030	22826
731	62103	22737
732	62184	22650
733	62288	22573
734	62375	22489
735	62472	22408
736	62565	22326
737	62661	22245
738	62738	22157
739	62812	22069
740	62921	21992
741	63014	21910
742	63104	21827
743	63187	21742
744	63273	21657
745	63370	21576
746	63462	21494
747	63547	21408
748	63632	21324
749	63729	21243
750	63809	21156
751	63893	21071
752	63965	20982
753	64047	20896
754	64137	20812
755	64215	20725
756	64301	20641
757	64371	20551
758	64463	20468
759	64533	20378
760	64607	20290
761	64698	20207
762	64777	20120
763	64853	20033
764	64933	19946
765	65020	19862
766	65101	19776
767	65194	19694
768	65294	19613
769	65387	19531
770	65467	19444
771	65555	19360
772	65648	19278
773	65735	19194
774	65818	19108
775	65916	19027
776	65999	18942
777	66065	18851
778	66141	18764
779	66211	18675
780	66290	18588
781	66373	18503
782	66467	18420
783	66546	18334
784	66639	18251
785	66706	18161
786	66785	18075
787	66856	17986
788	66924	17897
789	67004	17811
790	67076	17723
791	67161	17638
792	67236	17551
793	67318	17465
794	67395	17378
795	67488	17295
796	67562	17208
797	67653	17125
798	67735	17039
799	67814	16953
800	67878	16863
801	67961	16778
802	68034	16690
803	68132	16609
804	68272	16537
805	68360	16453
806	68439	16367
807	68528	16283
808	68601	16196
809	68685	16111
810	68773	16027
811	68835	15937
812	68905	15849
813	68980	15762
814	69075	15679
815	69150	15592
816	69231	15507
817	69316	15422
818	69394	15336
819	69477	15251
820	69562	15166
821	69641	15080
822	69723	14995
823	69811	14911
824	69896	14826
825	69975	14740
826	70054	14654
827	70134	14569
828	70215	14483
829	70297	14398
830	70380	14313
831	70462	14227
832	70544	14142
833	70621	14056
834	70701	13970
835	70793	13887
836	70870	13801
837	70955	13717
838	71032	13630
839	71110	13544
840	71202	13461
841	71271	13374
842	71355	13289
843	71443	13205
844	71534	13121
845	71617	13036
846	71704	12952
847	71800	12869
848	71907	12789
849	71997	12705
850	72061	12617
851	72150	12533
852	72219	12445
853	72307	12361
854	72376	12274
855	72457	12189
856	72547	12105
857	72641	12022
858	72720	11936
859	72814	11853
860	72915	11771
861	73008	11688
862	73108	11605
863	73212	11524
864	73310	11441
865	73389	11355
866	73473	11271
867	73549	11184
868	73636	11100
869	73735	11017
870	73826	10934
871	73926	10851
872	74010	10766
873	74093	10681
874	74171	10595
875	74253	10510
876	74333	10425
877	74416	10340
878	74507	10256
879	74592	10171
880	74673	10086
881	74760	10002
882	74860	9919
883	74949	9835
884	75053	9752
885	75139	9668
886	75241	9585
887	75325	9500
888	75425	9417
889	75521	9334
890	75611	9249
891	75693	9164
892	75777	9079
893	75865	8995
894	75945	8909
895	76037	8825
896	76126	8741
897	76210	8656
898	76292	8571
899	76384	8487
900	76469	8402
901	76556	8317
902	76638	8232
903	76728	8148
904	76847	8066
905	76944	7983
906	77041	7899
907	77136	7815
908	77234	7731
909	77323	7647
910	77422	7563
911	77503	7478
912	77595	7394
913	77689	7309
914	77783	7225
915	77876	7141
916	77964	7056
917	78054	6972
918	78139	6887
919	78205	6800
920	78288	6715
921	78371	6630
922	78450	6544
923	78546	6460
924	78645	6376
925	78730	6291
926	78829	6207
927	78910	6122
928	78997	6037
929	79095	5953
930	79187	5868
931	79281	5784
932	79372	5699
933	79462	5615
934	79537	5529
935	79619	5444
936	79704	5358
937	79838	5277
938	79924	5192
939	79996	5106
940	80096	5021
941	80178	4936
942	80251	4850
943	80330	4765
944	80401	4679
945	80494	4594
946	80574	4509
947	80660	4424
948	80751	4339
949	80828	4254
950	80900	4168
951	80982	4083
952	81069	3998
953	81148	3912
954	81212	3826
955	81299	3741
956	81377	3656
957	81459	3571
958	81538	3486
959	81624	3401
960	81712	3316
961	81790	3230
962	81882	3146
963	81961	3060
964	82050	2975
965	82115	2890
966	82179	2804
967	82242	2718
968	82313	2633
969	82387	2548
970	82480	2463
971	82569	2378
972	82644	2293
973	82728	2208
974	82812	2123
975	82897	2038
976	82983	1953
977	83077	1868
978	83152	1783
979	83227	1698
980	83309	1613
981	83385	1528
982	83456	1443
983	83543	1358
984	83625	1273
985	83704	1188
986	83774	1103
987	83850	1018
988	83940	933
989	84025	848
990	84108	763
991	84185	678
992	84279	594
993	84365	509
994	84458	424
995	84531	339
996	84605	254
997	84686	169
998	84763	84
999	84858	0
