iter	Logloss
452	0.2914578176
453	0.2914265361
454	0.291389107
455	0.2913555384
456	0.2913279343
457	0.2912821946
458	0.2912307994
459	0.2911812596
460	0.2911490654
461	0.2911017106
462	0.2910561949
463	0.2910064461
464	0.2909578802
465	0.2909035432
466	0.2908556523
467	0.290813678
468	0.2907754066
469	0.290726405
470	0.2906935044
471	0.2906494833
472	0.2906027684
473	0.2905581933
474	0.2905206958
475	0.290481745
476	0.2904543735
477	0.2904053951
478	0.2903675338
479	0.2903292226
480	0.2902873944
481	0.2902355057
482	0.290201869
483	0.2901572838
484	0.2901301118
485	0.2900969912
486	0.2900622836
487	0.2900141292
488	0.2899670523
489	0.2899338343
490	0.289888525
491	0.2898435615
492	0.2897985439
493	0.2897530098
494	0.2897090746
495	0.2896604089
496	0.2896191677
497	0.2895862467
498	0.2895476239
499	0.2894995408
500	0.2894689338
501	0.2894215588
502	0.289381428
503	0.2893291436
504	0.289288726
505	0.2892469274
506	0.2892107562
507	0.2891760333
508	0.2891236765
509	0.2890849457
510	0.2890344856
511	0.2889878622
512	0.2889333782
513	0.2888936631
514	0.288848237
515	0.2887954696
516	0.2887515437
517	0.2887127865
518	0.2886705715
519	0.2886252151
520	0.2885812097
521	0.2885393416
522	0.2884878594
523	0.2884451986
524	0.2884046535
525	0.2883693007
526	0.2883240566
527	0.2882788649
528	0.2882353767
529	0.2882019694
530	0.2881689558
531	0.2881175038
532	0.2880727046
533	0.2880367759
534	0.2879955638
535	0.2879478824
536	0.2879043063
537	0.2878702893
538	0.2878282243
539	0.2877963875
540	0.2877469174
541	0.2877092334
542	0.2876749244
543	0.2876300647
544	0.2875840863
545	0.2875443579
546	0.2875057285
547	0.2874567266
548	0.287414137
549	0.2873701162
550	0.2873250609
551	0.2872883874
552	0.2872468468
553	0.2871983497
554	0.2871695479
555	0.2871238472
556	0.2870782822
557	0.2870363905
558	0.28700223
559	0.286960158
560	0.2869175482
561	0.2868846294
562	0.2868316289
563	0.2867801764
564	0.2867377592
565	0.2866941277
566	0.2866499265
567	0.2866090626
568	0.2865753656
569	0.286532696
570	0.2864827831
571	0.2864294335
572	0.2863880504
573	0.2863429399
574	0.2863099855
575	0.2862700203
576	0.2862334814
577	0.2861942565
578	0.2861591847
579	0.2861183994
580	0.2860817827
581	0.2860467382
582	0.2860145907
583	0.2859682222
584	0.2859314439
585	0.2858911649
586	0.2858531762
587	0.2858126861
588	0.2857666381
589	0.2857197781
590	0.2856890889
591	0.2856548969
592	0.2856174837
593	0.2855794921
594	0.2855395444
595	0.2855084786
596	0.2854881125
597	0.2854386458
598	0.2853927866
599	0.2853593326
600	0.2853256724
601	0.2852893587
602	0.2852559061
603	0.2852163577
604	0.2851888307
605	0.2851445227
606	0.2851074695
607	0.2850815456
608	0.2850357742
609	0.2849893648
610	0.2849463333
611	0.2849040686
612	0.2848595619
613	0.2848171968
614	0.2847916102
615	0.2847407745
616	0.2846973656
617	0.2846630621
618	0.2846168791
619	0.2845691928
620	0.2845300597
621	0.2844969126
622	0.2844449908
623	0.2844167707
624	0.2843846327
625	0.284345311
626	0.2843004217
627	0.284251163
628	0.2842088218
629	0.2841849323
630	0.2841351227
631	0.284106613
632	0.2840576831
633	0.2840191752
634	0.2839837171
635	0.2839510599
636	0.2839222169
637	0.2838862654
638	0.2838447962
639	0.2837909731
640	0.2837444631
641	0.2837104241
642	0.2836671923
643	0.2836277948
644	0.2836034899
645	0.2835710496
646	0.2835280293
647	0.2834821457
648	0.2834456971
649	0.2834065171
650	0.283370837
651	0.2833313904
652	0.2832859648
653	0.2832576915
654	0.2832227619
655	0.2831777466
656	0.2831396644
657	0.2831084581
658	0.2830656002
659	0.2830197588
660	0.2829923992
661	0.2829634655
662	0.2829256666
663	0.2828880061
664	0.2828511919
665	0.2828079473
666	0.2827606702
667	0.2827243967
668	0.282690314
669	0.2826473586
670	0.2826146021
671	0.2825755304
672	0.282530377
673	0.2824923181
674	0.282466495
675	0.2824289842
676	0.2823897236
677	0.2823543427
678	0.2823133693
679	0.2822853276
680	0.2822618145
681	0.2822187885
682	0.2821723043
683	0.2821344829
684	0.2820991326
685	0.282059994
686	0.2820203556
687	0.2819778929
688	0.2819375306
689	0.2819072662
690	0.2818796785
691	0.2818431837
692	0.2817984623
693	0.2817621516
694	0.281718874
695	0.2816676928
696	0.2816312223
697	0.2815793187
698	0.2815341272
699	0.2814973737
700	0.281455401
701	0.2814213272
702	0.2813974907
703	0.2813513311
704	0.2813005384
705	0.2812642633
706	0.2812333402
707	0.2811942497
708	0.2811462527
709	0.2811099851
710	0.2810687379
711	0.281028788
712	0.280982946
713	0.2809361053
714	0.2808890745
715	0.2808585082
716	0.2808125324
717	0.2807671349
718	0.2807463718
719	0.2806990074
720	0.280667081
721	0.2806421064
722	0.280595094
723	0.2805592413
724	0.2805184773
725	0.2804722851
726	0.2804317233
727	0.2803865404
728	0.2803551867
729	0.2803198577
730	0.280282608
731	0.2802518039
732	0.2802235431
733	0.2801884469
734	0.2801638158
735	0.2801097476
736	0.2800684108
737	0.2800230504
738	0.2799804059
739	0.2799425873
740	0.279889894
741	0.279846227
742	0.2798116379
743	0.2797832951
744	0.27975062
745	0.2797127989
746	0.2796741139
747	0.2796442955
748	0.2796110237
749	0.2795568057
750	0.2795156428
751	0.2794832588
752	0.2794453404
753	0.2794064152
754	0.2793744252
755	0.2793421295
756	0.2793013045
757	0.2792522285
758	0.2792051735
759	0.2791612264
760	0.2791298227
761	0.2790860211
762	0.2790457639
763	0.2790095309
764	0.2789662183
765	0.2789169429
766	0.2788873738
767	0.2788516323
768	0.2788111143
769	0.2787666611
770	0.2787292967
771	0.2786981688
772	0.2786566996
773	0.2786085155
774	0.2785791711
775	0.278552549
776	0.2785178424
777	0.2784918827
778	0.2784630641
779	0.2784295001
780	0.2783952911
781	0.2783457587
782	0.2783037919
783	0.2782698717
784	0.2782302168
785	0.2782060356
786	0.2781625242
787	0.278125614
788	0.2781029223
789	0.2780613841
790	0.2780338692
791	0.277989835
792	0.2779553254
793	0.2779201955
794	0.2778833241
795	0.2778412423
796	0.2777970798
797	0.2777457952
798	0.2777011608
799	0.2776530507
800	0.27761525
801	0.2775766904
802	0.2775365569
803	0.2775002454
804	0.2774692056
805	0.2774311478
806	0.277390705
807	0.277348425
808	0.2773117731
809	0.2772704289
810	0.277218121
811	0.277199458
812	0.2771541359
813	0.27712495
814	0.277076536
815	0.2770518452
816	0.2770107811
817	0.2769708242
818	0.2769322909
819	0.276902938
820	0.2768558672
821	0.276813085
822	0.2767768891
823	0.2767326852
824	0.2766883414
825	0.2766579367
826	0.2766194559
827	0.2765789005
828	0.2765399829
829	0.2765100972
830	0.2764843484
831	0.2764514951
832	0.2764056361
833	0.27638087
834	0.2763471393
835	0.2762977635
836	0.2762545483
837	0.2762143915
838	0.2761725791
839	0.2761425332
840	0.2760992514
841	0.2760721141
842	0.2760328929
843	0.2759908905
844	0.2759443517
845	0.2759067224
846	0.2758668594
847	0.2758144919
848	0.2757820465
849	0.275744291
850	0.2757213376
851	0.2756830084
852	0.2756589873
853	0.2756244778
854	0.275593692
855	0.2755620815
856	0.2755248272
857	0.2754969385
858	0.2754688939
859	0.2754359922
860	0.2753929014
861	0.2753480785
862	0.275303784
863	0.2752632357
864	0.2752280499
865	0.2751917442
866	0.2751593748
867	0.2751372154
868	0.2750967477
869	0.2750634312
870	0.2750278484
871	0.2749935522
872	0.2749629418
873	0.2749355274
874	0.2748999578
875	0.2748653272
876	0.2748256897
877	0.2747904253
878	0.2747445513
879	0.2747054056
880	0.2746603924
881	0.2746164707
882	0.2745804365
883	0.2745409428
884	0.2745053063
885	0.274462357
886	0.2744244295
887	0.2743748605
888	0.2743371108
889	0.2743079217
890	0.2742624758
891	0.2742312818
892	0.2741992955
893	0.2741627316
894	0.2741248044
895	0.2740877537
896	0.2740573651
897	0.2740143811
898	0.2739851112
899	0.2739473705
900	0.2738963323
901	0.2738701523
902	0.2738322736
903	0.2737927543
904	0.2737605933
905	0.2737108501
906	0.2736733358
907	0.2736356949
908	0.2736035119
909	0.2735692147
910	0.273526683
911	0.2735028466
912	0.2734651905
913	0.273421037
914	0.2733765646
915	0.2733502474
916	0.2733183232
917	0.2732863974
918	0.273258672
919	0.2732363576
920	0.2732043867
921	0.2731603045
922	0.2731214777
923	0.2730852065
924	0.2730460541
925	0.2730143082
926	0.2729937989
927	0.2729668858
928	0.272928773
929	0.2728943577
930	0.2728624412
931	0.2728223006
932	0.2727773623
933	0.2727404907
934	0.2726998412
935	0.2726712661
936	0.2726345126
937	0.2725996955
938	0.2725770044
939	0.2725402892
940	0.272501412
941	0.2724585955
942	0.2724401739
943	0.2724049859
944	0.2723776646
945	0.2723299922
946	0.2722917326
947	0.272252803
948	0.2722055776
949	0.2721669407
950	0.2721245741
951	0.2720970537
952	0.2720682311
953	0.2720308841
954	0.2720049144
955	0.2719657633
956	0.2719260028
957	0.2718893475
958	0.271856756
959	0.2718149488
960	0.2717798842
961	0.2717523255
962	0.2717109383
963	0.2716773749
964	0.2716379138
965	0.2716112183
966	0.2715964398
967	0.2715819871
968	0.2715564256
969	0.2715146063
970	0.2714640552
971	0.2714320596
972	0.2714005911
973	0.2713723318
974	0.271337727
975	0.271297791
976	0.2712662578
977	0.271226265
978	0.2712066424
979	0.2711577642
980	0.2711210722
981	0.2710850015
982	0.2710416724
983	0.2710025568
984	0.2709643239
985	0.2709200973
986	0.2708893868
987	0.2708502029
988	0.2707985384
989	0.2707636971
990	0.2707343418
991	0.2706957091
992	0.2706591381
993	0.2706123481
994	0.2705768328
995	0.2705405779
996	0.2705009366
997	0.2704653848
998	0.2704293625
999	0.2703833072
